category	kaomoji	description
ᕕ( ᐛ )ᕗ	Indifference	
┐(シ)┌	Indifference	
(￣ω￣;)	Confusion	
σ(￣、￣〃)	Confusion	
(￣～￣;)	Confusion	
(-_-;)・・・	Confusion	
┐('～`;)┌	Confusion	
(・_・ヾ	Confusion	
(〃￣ω￣〃ゞ	Confusion	
┐(￣ヘ￣;)┌	Confusion	
(・_・;)	Confusion	
(￣_￣)・・・	Confusion	
╮(￣ω￣;)╭	Confusion	
(¯ . ¯;)	Confusion	
(＠_＠)	Confusion	
(・・;)ゞ	Confusion	
Σ(￣。￣ﾉ)	Confusion	
(・・ ) ?	Confusion	
(•ิ_•ิ)?	Confusion	
(◎ ◎)ゞ	Confusion	
(ーー;)	Confusion	
ლ(ಠ_ಠ ლ)	Confusion	
ლ(¯ロ¯"ლ)	Confusion	
(¯ . ¯٥)	Confusion	
(¯  ¯٥)	Confusion	
(￢_￢)	Doubt	
(→_→)	Doubt	
(￢ ￢)	Doubt	
(￢‿￢ )	Doubt	
(¬_¬ )	Doubt	
(←_←)	Doubt	
(¬ ¬ )	Doubt	
(¬‿¬ )	Doubt	
(↼_↼)	Doubt	
(⇀_⇀)	Doubt	
(ᓀ ᓀ)	Doubt	
w(°ｏ°)w	Surprise	
ヽ(°〇°)ﾉ	Surprise	
Σ(O_O)	Surprise	
Σ(°ロ°)	Surprise	
(⊙_⊙)	Surprise	
(o_O)	Surprise	
(O_O;)	Surprise	
(O.O)	Surprise	
(°ロ°) !	Surprise	
(o_O) !	Surprise	
(□_□)	Surprise	
Σ(□_□)	Surprise	
∑(O_O;)	Surprise	
( : ౦ ‸ ౦ : )	Surprise	
(*・ω・)ﾉ	Greeting	
(￣▽￣)ノ	Greeting	
(°▽°)/	Greeting	
( ´ ∀ ` )ﾉ	Greeting	
(^-^*)/	Greeting	
(＠´ー`)ﾉﾞ	Greeting	
(´• ω •`)ﾉ	Greeting	
( ° ∀ ° )ﾉﾞ	Greeting	
ヾ(*'▽'*)	Greeting	
＼(⌒▽⌒)	Greeting	
ヾ(☆▽☆)	Greeting	
( ´ ▽ ` )ﾉ	Greeting	
(^０^)ノ	Greeting	
~ヾ(・ω・)	Greeting	
(・∀・)ノ	Greeting	
ヾ(・ω・*)	Greeting	
(*°ｰ°)ﾉ	Greeting	
(・_・)ノ	Greeting	
(o´ω`o)ﾉ	Greeting	
( ´ ▽ ` )/	Greeting	
(￣ω￣)/	Greeting	
( ´ ω ` )ノﾞ	Greeting	
(⌒ω⌒)ﾉ	Greeting	
(o^ ^o)/	Greeting	
(≧▽≦)/	Greeting	
(✧∀✧)/	Greeting	
(o´▽`o)ﾉ	Greeting	
(￣▽￣)/	Greeting	
(づ￣ ³￣)づ	Hugging	
(つ≧▽≦)つ	Hugging	
(つ✧ω✧)つ	Hugging	
(づ ◕‿◕ )づ	Hugging	
(⊃｡•́‿•̀｡)⊃	Hugging	
(つ . •́ _ʖ •̀ .)つ	Hugging	
(っಠ‿ಠ)っ	Hugging	
(づ◡﹏◡)づ	Hugging	
⊂(´• ω •`⊂)	Hugging	
⊂(･ω･*⊂)	Hugging	
⊂(￣▽￣)⊃	Hugging	
⊂( ´ ▽ ` )⊃	Hugging	
( ~*-*)~	Hugging	
(｡•̀ᴗ-)✧	Hugging	
(^_~)	Winking	
( ﾟｏ⌒)	Winking	
(^_-)≡☆	Winking	
(^ω~)	Winking	
(>ω^)	Winking	
(~人^)	Winking	
(^_-)	Winking	
( -_・)	Winking	
(^_<)〜☆	Winking	
(^人<)〜☆	Winking	
☆⌒(≧▽​° )	Winking	
☆⌒(ゝ。∂)	Winking	
(^_<)	Winking	
(^_−)☆	Winking	
(･ω<)☆	Winking	
(^.~)☆	Winking	
(^.~)	Winking	
(>ᴗ•)	Winking	
m(_ _)m	Apologizing	
(シ_ _)シ	Apologizing	
m(. .)m	Apologizing	
<(_ _)>	Apologizing	
人(_ _*)	Apologizing	
(*_ _)人	Apologizing	
m(_ _;m)	Apologizing	
(m;_ _)m	Apologizing	
(シ. .)シ	Apologizing	
(*￣ii￣)	Nosebleeding	
(￣ﾊ￣*)	Nosebleeding	
\(￣ﾊ￣)	Nosebleeding	
(＾་།＾)	Nosebleeding	
(＾〃＾)	Nosebleeding	
(￣ ¨ヽ￣)	Nosebleeding	
(￣ ;￣)	Nosebleeding	
(￣ ;;￣)	Nosebleeding	
|･ω･)	Hiding	
ﾍ(･_|	Hiding	
|ω･)ﾉ	Hiding	
ヾ(･|	Hiding	
|д･)	Hiding	
|_￣))	Hiding	
|▽//)	Hiding	
┬┴┬┴┤(･_├┬┴┬┴	Hiding	
┬┴┬┴┤･ω･)ﾉ	Hiding	
┬┴┬┴┤( ͡° ͜ʖ├┬┴┬┴	Hiding	
┬┴┬┴┤(･_├┬┴┬┴	Hiding	
|_・)	Hiding	
|･д･)ﾉ	Hiding	
|ʘ‿ʘ)╯	Hiding	
__φ(．．)	Writing	
( ￣ー￣)φ__	Writing	
__φ(。。)	Writing	
__φ(．．;)	Writing	
ヾ( `ー´)シφ__	Writing	
__〆(￣ー￣ )	Writing	
....φ(・∀・*)	Writing	
___〆(・∀・)	Writing	
( ^▽^)ψ__	Writing	
....φ(︶▽︶)φ....	Writing	
( . .)φ__	Writing	
__φ(◎◎ヘ)	Writing	
☆ﾐ(o*･ω･)ﾉ	Running	
C= C= C= C= C=┌(;・ω・)┘	Running	
